id,name,full_name,private,owner_login,owner_type,html_url,description,fork,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,forks_count,open_issues_count,default_branch,topics,visibility,license
46844958,Java,DuGuQiuBai/Java,False,DuGuQiuBai,Organization,https://github.com/DuGuQiuBai/Java,27天成为Java大神,False,2015-11-25T07:30:08Z,2025-10-29T07:52:58Z,2024-07-20T03:42:57Z,,24346,13832,13832,Java,5158,78,master,,public,artistic-2.0
709588939,awesome-leetcode-resources,ashishps1/awesome-leetcode-resources,False,ashishps1,User,https://github.com/ashishps1/awesome-leetcode-resources,Awesome LeetCode resources to learn Data Structures and Algorithms and prepare for Coding Interviews.,False,2023-10-25T01:48:19Z,2025-10-29T11:55:08Z,2025-06-10T08:13:10Z,https://blog.algomaster.io,244,13806,13806,Java,3094,10,main,"algorithms,coding,data-structures,leetcode,leetcode-patterns",public,gpl-3.0
31865176,Material-Animations,lgvalle/Material-Animations,False,lgvalle,User,https://github.com/lgvalle/Material-Animations,Android Transition animations explanation with examples.,False,2015-03-08T20:54:00Z,2025-10-29T04:15:10Z,2019-04-02T15:42:38Z,,8692,13772,13772,Java,2460,20,master,,public,mit
33082868,piggymetrics,sqshq/piggymetrics,False,sqshq,User,https://github.com/sqshq/piggymetrics,"Microservice Architecture with Spring Boot, Spring Cloud and Docker",False,2015-03-29T17:56:31Z,2025-10-29T08:22:27Z,2024-05-17T09:38:48Z,,1512,13757,13757,Java,6341,23,master,"docker,microservice,microservices,spring-boot,spring-cloud",public,mit
67778031,spring-analysis,seaswalker/spring-analysis,False,seaswalker,User,https://github.com/seaswalker/spring-analysis,Spring源码阅读,False,2016-09-09T07:46:32Z,2025-10-27T21:08:49Z,2023-03-24T12:08:27Z,,4951,13744,13744,Java,4169,19,master,"notes,source-code-analysis,spring",public,
25459400,pinpoint,pinpoint-apm/pinpoint,False,pinpoint-apm,Organization,https://github.com/pinpoint-apm/pinpoint,"APM, (Application Performance Management) tool for large-scale distributed systems. ",False,2014-10-20T09:27:22Z,2025-10-29T08:12:57Z,2025-10-29T08:12:49Z,https://pinpoint-apm.gitbook.io/,267302,13737,13737,Java,3776,500,master,"agent,apm,distributed-tracing,monitoring,performance,tracing",public,apache-2.0
11981144,languagetool,languagetool-org/languagetool,False,languagetool-org,Organization,https://github.com/languagetool-org/languagetool,Style and Grammar Checker for 25+ Languages,False,2013-08-08T16:37:22Z,2025-10-29T06:00:41Z,2025-10-29T06:00:36Z,https://languagetool.org,6011684,13717,13717,Java,1462,2044,master,"grammar,natural-language,natural-language-processing,proofreading,spellcheck,style-checker",public,lgpl-2.1
145098146,AndroidAutoSize,JessYanCoding/AndroidAutoSize,False,JessYanCoding,User,https://github.com/JessYanCoding/AndroidAutoSize,🔥 A low-cost Android screen adaptation solution (今日头条屏幕适配方案终极版，一个极低成本的 Android 屏幕适配方案).,False,2018-08-17T09:04:19Z,2025-10-29T08:14:51Z,2023-05-28T15:08:32Z,,3131,13710,13710,Java,2000,123,master,"adapterview,android,arms,density,mvparms,screenadapter",public,apache-2.0
87536046,mit-deep-learning-book-pdf,janishar/mit-deep-learning-book-pdf,False,janishar,User,https://github.com/janishar/mit-deep-learning-book-pdf,"MIT Deep Learning Book in PDF format (complete and parts) by Ian Goodfellow, Yoshua Bengio and Aaron Courville",False,2017-04-07T10:46:50Z,2025-10-29T10:34:21Z,2023-10-09T08:55:12Z,,43571,13685,13685,Java,2852,12,master,"book,chapter,clear,deep-learning,deeplearning,excercises,good,learning,lecture-notes,linear-algebra,machine,machine-learning,mit,neural-network,neural-networks,pdf,print,printable,thinking",public,
64054478,Luban,Curzibn/Luban,False,Curzibn,User,https://github.com/Curzibn/Luban,Luban(鲁班)—Image compression with efficiency very close to WeChat Moments/可能是最接近微信朋友圈的图片压缩算法,False,2016-07-24T07:43:21Z,2025-10-28T07:34:30Z,2021-11-06T13:32:29Z,,5029,13678,13678,Java,2251,153,master,"android,image-compression,luban",public,apache-2.0
