rank,name,stars,forks,language,description,url,clone_url,created_at,updated_at
103,amazon/boot,2704,635,Java,A popular Java library for rxjava,https://github.com/amazon/boot,https://github.com/amazon/boot.git,2016-07-30T22:56:09.316061Z,2025-09-17T22:56:09.316065Z
104,redhat/storm,2690,564,Java,A popular Java client for mongodb,https://github.com/redhat/storm,https://github.com/redhat/storm.git,2014-02-09T22:56:09.316680Z,2025-02-16T22:56:09.316683Z
105,facebook/cloud,2669,955,Java,A popular Java extension for gson,https://github.com/facebook/cloud,https://github.com/facebook/cloud.git,2015-01-04T22:56:09.349838Z,2025-02-17T22:56:09.349841Z
106,atlassian/tomcat,2661,374,Java,A popular Java common for okhttp,https://github.com/atlassian/tomcat,https://github.com/atlassian/tomcat.git,2017-12-01T22:56:09.316251Z,2025-03-01T22:56:09.316255Z
107,baidu/rxjava-core,2620,631,Java,A popular Java core for netty,https://github.com/baidu/rxjava-core,https://github.com/baidu/rxjava-core.git,2016-11-19T22:56:09.344458Z,2025-06-04T22:56:09.344462Z
108,dropbox/spark,2349,249,Java,A popular Java server for commons,https://github.com/dropbox/spark,https://github.com/dropbox/spark.git,2017-10-20T22:56:09.353794Z,2024-09-30T22:56:09.353797Z
109,tencent/rest-server,2244,486,Java,A popular Java shared for cassandra,https://github.com/tencent/rest-server,https://github.com/tencent/rest-server.git,2024-05-24T22:56:09.328509Z,2025-06-21T22:56:09.328512Z
110,netflix/reactor,2233,433,Java,A popular Java extension for elasticsearch,https://github.com/netflix/reactor,https://github.com/netflix/reactor.git,2016-03-10T22:56:09.340421Z,2024-12-05T22:56:09.340426Z
111,gradle/cloud,2145,360,Java,A popular Java library for zookeeper,https://github.com/gradle/cloud,https://github.com/gradle/cloud.git,2015-05-18T22:56:09.358768Z,2025-08-06T22:56:09.358771Z
112,gradle/library-zookeeper,2113,275,Java,A popular Java library for web,https://github.com/gradle/library-zookeeper,https://github.com/gradle/library-zookeeper.git,2019-02-15T22:56:09.317889Z,2025-03-12T22:56:09.317892Z
113,uber/framework-zookeeper-v2,2108,788,Java,A popular Java shared for akka,https://github.com/uber/framework-zookeeper-v2,https://github.com/uber/framework-zookeeper-v2.git,2023-04-15T22:56:09.345506Z,2025-01-05T22:56:09.345508Z
114,oracle/library-security,2077,329,Java,A popular Java utils for cassandra,https://github.com/oracle/library-security,https://github.com/oracle/library-security.git,2010-11-09T22:56:09.351694Z,2025-02-10T22:56:09.351697Z
115,uber/flink,2049,535,Java,A popular Java plugin for lucene,https://github.com/uber/flink,https://github.com/uber/flink.git,2023-07-30T22:56:09.356585Z,2025-07-14T22:56:09.356590Z
116,maven/shared-akka,2046,632,Java,A popular Java base for rxjava,https://github.com/maven/shared-akka,https://github.com/maven/shared-akka.git,2014-02-20T22:56:09.314088Z,2025-04-30T22:56:09.314091Z
117,twitter/jetty-2,2020,783,Java,A popular Java tool for zookeeper,https://github.com/twitter/jetty-2,https://github.com/twitter/jetty-2.git,2021-09-28T22:56:09.334693Z,2024-09-24T22:56:09.334698Z
118,eclipse/elasticsearch,2017,684,Java,A popular Java tool for api,https://github.com/eclipse/elasticsearch,https://github.com/eclipse/elasticsearch.git,2018-03-20T22:56:09.329428Z,2025-08-12T22:56:09.329431Z
119,alibaba/common-tomcat-client,1985,769,Java,A popular Java framework for rest,https://github.com/alibaba/common-tomcat-client,https://github.com/alibaba/common-tomcat-client.git,2012-06-28T22:56:09.342945Z,2024-11-11T22:56:09.342947Z
120,square/commons,1983,235,Java,A popular Java base for data,https://github.com/square/commons,https://github.com/square/commons.git,2013-06-24T22:56:09.318472Z,2025-06-21T22:56:09.318475Z
121,github/api,1968,629,Java,A popular Java plugin for data,https://github.com/github/api,https://github.com/github/api.git,2022-03-19T22:56:09.313171Z,2025-01-04T22:56:09.313175Z
122,github/spring,1960,111,Java,A popular Java tool for redis,https://github.com/github/spring,https://github.com/github/spring.git,2024-03-25T22:56:09.341216Z,2025-08-05T22:56:09.341219Z
123,netflix/redis,1921,186,Java,A popular Java base for redis,https://github.com/netflix/redis,https://github.com/netflix/redis.git,2019-12-21T22:56:09.321351Z,2024-12-09T22:56:09.321354Z
124,facebook/hadoop,1920,494,Java,A popular Java base for hbase,https://github.com/facebook/hadoop,https://github.com/facebook/hadoop.git,2021-05-10T22:56:09.343724Z,2025-09-07T22:56:09.343726Z
125,atlassian/akka,1862,660,Java,A popular Java common for spark,https://github.com/atlassian/akka,https://github.com/atlassian/akka.git,2022-02-13T22:56:09.352172Z,2025-03-25T22:56:09.352175Z
126,apache/storm,1857,382,Java,A popular Java library for data,https://github.com/apache/storm,https://github.com/apache/storm.git,2022-03-10T22:56:09.353016Z,2025-01-25T22:56:09.353019Z
127,ibm/flink,1853,216,Java,A popular Java shared for microservice,https://github.com/ibm/flink,https://github.com/ibm/flink.git,2016-08-13T22:56:09.328616Z,2025-05-24T22:56:09.328620Z
128,alibaba/server-hadoop,1847,652,Java,A popular Java common for reactor,https://github.com/alibaba/server-hadoop,https://github.com/alibaba/server-hadoop.git,2021-09-04T22:56:09.320963Z,2024-11-18T22:56:09.320966Z
129,spring/shared-tomcat,1835,94,Java,A popular Java library for spark,https://github.com/spring/shared-tomcat,https://github.com/spring/shared-tomcat.git,2013-09-12T22:56:09.345754Z,2025-06-27T22:56:09.345756Z
130,oracle/server-hbase,1834,341,Java,A popular Java utils for elasticsearch,https://github.com/oracle/server-hbase,https://github.com/oracle/server-hbase.git,2015-03-31T22:56:09.327364Z,2025-03-30T22:56:09.327366Z
131,atlassian/base-retrofit,1833,205,Java,A popular Java library for security,https://github.com/atlassian/base-retrofit,https://github.com/atlassian/base-retrofit.git,2022-05-25T22:56:09.350706Z,2025-01-07T22:56:09.350709Z
132,spring/spring,1831,299,Java,A popular Java utils for httpclient,https://github.com/spring/spring,https://github.com/spring/spring.git,2020-02-08T22:56:09.311624Z,2025-03-18T22:56:09.311629Z
133,linkedin/elasticsearch,1827,490,Java,A popular Java tool for jackson,https://github.com/linkedin/elasticsearch,https://github.com/linkedin/elasticsearch.git,2018-09-26T22:56:09.343871Z,2025-01-10T22:56:09.343872Z
134,google/spring,1806,702,Java,A popular Java framework for jetty,https://github.com/google/spring,https://github.com/google/spring.git,2019-05-20T22:56:09.346131Z,2025-01-14T22:56:09.346133Z
135,baidu/api-zookeeper,1803,603,Java,A popular Java core for netty,https://github.com/baidu/api-zookeeper,https://github.com/baidu/api-zookeeper.git,2017-07-27T22:56:09.312374Z,2024-10-04T22:56:09.312378Z
136,google/elasticsearch-server,1790,186,Java,A popular Java service for data,https://github.com/google/elasticsearch-server,https://github.com/google/elasticsearch-server.git,2018-02-03T22:56:09.322828Z,2025-05-19T22:56:09.322832Z
137,microsoft/web,1786,610,Java,A popular Java service for elasticsearch,https://github.com/microsoft/web,https://github.com/microsoft/web.git,2024-06-02T22:56:09.337114Z,2025-01-18T22:56:09.337117Z
138,facebook/zookeeper,1779,628,Java,A popular Java plugin for gson,https://github.com/facebook/zookeeper,https://github.com/facebook/zookeeper.git,2013-08-03T22:56:09.350169Z,2025-01-04T22:56:09.350172Z
139,github/framework-tomcat,1770,519,Java,A popular Java common for hbase,https://github.com/github/framework-tomcat,https://github.com/github/framework-tomcat.git,2017-01-04T22:56:09.317012Z,2025-01-05T22:56:09.317015Z
140,atlassian/retrofit,1770,117,Java,A popular Java library for lucene,https://github.com/atlassian/retrofit,https://github.com/atlassian/retrofit.git,2016-11-02T22:56:09.344907Z,2025-03-06T22:56:09.344909Z
141,linkedin/kafka-client,1769,392,Java,A popular Java common for boot,https://github.com/linkedin/kafka-client,https://github.com/linkedin/kafka-client.git,2024-04-10T22:56:09.344317Z,2025-03-07T22:56:09.344319Z
142,eclipse/zookeeper-2,1750,432,Java,A popular Java library for elasticsearch,https://github.com/eclipse/zookeeper-2,https://github.com/eclipse/zookeeper-2.git,2014-11-24T22:56:09.318176Z,2024-10-22T22:56:09.318180Z
143,google/plugin-elasticsearch,1740,160,Java,A popular Java extension for hbase,https://github.com/google/plugin-elasticsearch,https://github.com/google/plugin-elasticsearch.git,2024-02-08T22:56:09.311025Z,2025-04-24T22:56:09.311028Z
144,github/storm,1735,300,Java,A popular Java framework for httpclient,https://github.com/github/storm,https://github.com/github/storm.git,2014-07-26T22:56:09.326099Z,2025-03-14T22:56:09.326103Z
145,google/lucene,1703,179,Java,A popular Java common for flink,https://github.com/google/lucene,https://github.com/google/lucene.git,2024-05-05T22:56:09.333899Z,2024-11-07T22:56:09.333903Z
146,gradle/plugin-netty,1701,630,Java,A popular Java base for mongodb,https://github.com/gradle/plugin-netty,https://github.com/gradle/plugin-netty.git,2012-04-09T22:56:09.345198Z,2025-03-05T22:56:09.345199Z
147,spotify/gson-v2,1685,172,Java,A popular Java core for retrofit,https://github.com/spotify/gson-v2,https://github.com/spotify/gson-v2.git,2022-02-15T22:56:09.331289Z,2025-03-29T22:56:09.331293Z
148,amazon/storm,1671,346,Java,A popular Java server for jackson,https://github.com/amazon/storm,https://github.com/amazon/storm.git,2012-07-06T22:56:09.344585Z,2024-09-29T22:56:09.344587Z
149,gradle/kafka,1667,198,Java,A popular Java library for spark,https://github.com/gradle/kafka,https://github.com/gradle/kafka.git,2017-06-22T22:56:09.335050Z,2025-08-04T22:56:09.335053Z
150,linkedin/data,1665,406,Java,A popular Java library for rest,https://github.com/linkedin/data,https://github.com/linkedin/data.git,2017-02-06T22:56:09.348781Z,2024-09-22T22:56:09.348783Z
